Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-52-33.753,147410.98068649834, 33, Upload, 
11-28-2022-14-52-33.753,458611.9399135504, 34, Upload, 
11-28-2022-14-52-33.753,425853.94420543965, 35, Upload, 
11-28-2022-14-52-33.753,343958.9549351628, 36, Upload, 
11-28-2022-14-52-33.753,294821.9613729967, 37, Upload, 
11-28-2022-14-52-33.753,163789.9785405537, 38, Upload, 
11-28-2022-14-52-33.753,343958.9549351628, 39, Upload, 
11-28-2022-14-52-33.753,1.4249728133028173e+06, 0, Download, 
11-28-2022-14-52-33.753,1.5395538202632915e+06, 1, Download, 
11-28-2022-14-52-33.753,1.5067958245551807e+06, 2, Download, 
11-28-2022-14-52-33.753,638708.9382902462, 3, Download, 
11-28-2022-14-52-33.753,1.6213048534977417e+06, 4, Download, 
11-28-2022-14-52-33.753,1.719794774675814e+06, 5, Download, 
11-28-2022-14-52-33.753,1.1300788739119072e+06, 6, Download, 
11-28-2022-14-52-33.753,2.7186977097194516e+06, 7, Download, 
11-28-2022-14-52-33.753,2.5875937488690955e+06, 8, Download, 
11-28-2022-14-52-33.753,638780.9163081595, 9, Download, 
11-28-2022-14-52-33.753,2.5548357531609847e+06, 10, Download, 
11-28-2022-14-52-33.753,2.0797728373754655e+06, 11, Download, 
11-28-2022-14-52-33.753,1.343005846014627e+06, 12, Download, 
11-28-2022-14-52-33.753,1.3594568218865958e+06, 13, Download, 
11-28-2022-14-52-33.753,1.6049258556436864e+06, 14, Download, 
11-28-2022-14-52-33.753,2.57143068506878e+06, 15, Download, 
11-28-2022-14-52-33.753,1.7196508186399874e+06, 16, Download, 
11-28-2022-14-52-33.753,507748.9334757165, 17, Download, 
11-28-2022-14-52-33.753,1.408593815448762e+06, 18, Download, 
11-28-2022-14-52-33.753,2.260085769805901e+06, 19, Download, 
11-28-2022-14-52-33.753,2.4893917397626764e+06, 20, Download, 
11-28-2022-14-52-33.753,1.2609669007085236e+06, 21, Download, 
11-28-2022-14-52-33.753,1.2611108567443502e+06, 22, Download, 
11-28-2022-14-52-33.753,1.3919269055230531e+06, 23, Download, 
11-28-2022-14-52-33.753,1.703271820785932e+06, 24, Download, 
11-28-2022-14-52-33.753,1.162836869620018e+06, 25, Download, 
11-28-2022-14-52-33.753,1.2448038369082082e+06, 26, Download, 
11-28-2022-14-52-33.753,1.8507547794903435e+06, 27, Download, 
11-28-2022-14-52-33.753,1.736101794511956e+06, 28, Download, 
11-28-2022-14-52-33.753,2.1453608068096004e+06, 29, Download, 
11-28-2022-14-52-33.753,3.1609306517789466e+06, 30, Download, 
11-28-2022-14-52-33.753,1.5886188358075444e+06, 31, Download, 
11-28-2022-14-52-33.753,1.8016897639460908e+06, 32, Download, 
11-28-2022-14-52-33.753,868086.8862649347, 33, Download, 
11-28-2022-14-52-33.753,1.8178528277464062e+06, 34, Download, 
11-28-2022-14-52-33.753,2.0801327274650321e+06, 35, Download, 
11-28-2022-14-52-33.753,2.096223813247434e+06, 36, Download, 
11-28-2022-14-52-33.753,2.0960798572116075e+06, 37, Download, 
11-28-2022-14-52-33.753,1.8832968411447143e+06, 38, Download, 
11-28-2022-14-52-33.753,1.3101038942706897e+06, 39, Download, 
11-28-2022-14-52-34.754,294746.2052595415, 0, Upload, 
11-28-2022-14-52-34.754,0, 1, Upload, 
11-28-2022-14-52-34.754,638616.7780623399, 2, Upload, 
11-28-2022-14-52-34.754,311120.99444062717, 3, Upload, 
11-28-2022-14-52-34.754,1.097110875132738e+06, 4, Upload, 
11-28-2022-14-52-34.754,98248.73508651383, 5, Upload, 
11-28-2022-14-52-34.754,98248.73508651383, 6, Upload, 
11-28-2022-14-52-34.754,0, 7, Upload, 
11-28-2022-14-52-34.754,196497.47017302766, 8, Upload, 
11-28-2022-14-52-34.754,753240.3023299394, 9, Upload, 
11-28-2022-14-52-34.754,360245.36198388407, 10, Upload, 
11-28-2022-14-52-34.754,0, 11, Upload, 
11-28-2022-14-52-34.754,0, 12, Upload, 
11-28-2022-14-52-34.754,49124.367543256914, 13, Upload, 
11-28-2022-14-52-34.754,49124.367543256914, 14, Upload, 
11-28-2022-14-52-34.754,589492.410519083, 15, Upload, 
