Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-48.318,3.160741316295146e+06, 3, Download, 
11-26-2022-11-30-48.318,1.5557322203252919e+06, 4, Download, 
11-26-2022-11-30-48.318,1.4247110696338753e+06, 5, Download, 
11-26-2022-11-30-48.318,818882.1918213542, 6, Download, 
11-26-2022-11-30-48.318,5.846243073063345e+06, 7, Download, 
11-26-2022-11-30-48.318,3.029648193536089e+06, 8, Download, 
11-26-2022-11-30-48.318,2.178082686109521e+06, 9, Download, 
11-26-2022-11-30-48.318,1.0151980016555575e+06, 10, Download, 
11-26-2022-11-30-48.318,2.9805872340944484e+06, 11, Download, 
11-26-2022-11-30-48.318,1.2446289595008178e+06, 12, Download, 
11-26-2022-11-30-48.318,2.8168107957301773e+06, 13, Download, 
11-26-2022-11-30-48.318,4.372471043987829e+06, 14, Download, 
11-26-2022-11-30-48.318,6.337788304359079e+06, 15, Download, 
11-26-2022-11-30-48.318,507706.9589292396, 16, Download, 
11-26-2022-11-30-48.318,1.4673793100897543e+07, 17, Download, 
11-26-2022-11-30-48.318,1.0973021370406146e+06, 18, Download, 
11-26-2022-11-30-48.318,704238.6849663646, 0, Upload, 
11-26-2022-11-30-48.318,49132.931509281254, 1, Upload, 
11-26-2022-11-30-48.318,507706.9589292396, 2, Upload, 
11-26-2022-11-30-48.318,474951.67125638545, 3, Upload, 
11-26-2022-11-30-48.318,1.1136797808770416e+06, 4, Upload, 
11-26-2022-11-30-48.318,573217.534274948, 5, Upload, 
11-26-2022-11-30-48.318,999036.2740220522, 6, Upload, 
11-26-2022-11-30-48.318,49132.931509281254, 7, Upload, 
11-26-2022-11-30-48.318,49132.931509281254, 8, Upload, 
11-26-2022-11-30-48.318,786126.9041485001, 9, Upload, 
11-26-2022-11-30-48.318,736993.9726392188, 10, Upload, 
11-26-2022-11-30-48.318,98265.86301856251, 11, Upload, 
11-26-2022-11-30-48.318,1.0481692055313335e+06, 12, Upload, 
11-26-2022-11-30-48.318,327552.8767285417, 13, Upload, 
11-26-2022-11-30-48.318,884392.7671670626, 14, Upload, 
11-26-2022-11-30-48.318,49132.931509281254, 15, Upload, 
11-26-2022-11-30-48.318,556839.8904385208, 16, Upload, 
11-26-2022-11-30-48.318,884392.7671670626, 17, Upload, 
11-26-2022-11-30-48.318,769749.2603120729, 18, Upload, 
11-26-2022-11-30-49.318,6.011311170568281e+06, 0, Download, 
11-26-2022-11-30-49.318,7.223560236277429e+06, 1, Download, 
11-26-2022-11-30-49.318,2.882871785970985e+06, 2, Download, 
11-26-2022-11-30-49.318,2.670065730044608e+06, 3, Download, 
11-26-2022-11-30-49.318,1.0975116804477838e+06, 4, Download, 
11-26-2022-11-30-49.318,1.3923655647471882e+06, 5, Download, 
11-26-2022-11-30-49.318,737134.7107485114, 6, Download, 
11-26-2022-11-30-49.318,5.782124343291936e+06, 7, Download, 
11-26-2022-11-30-49.318,2.2931640173721756e+06, 8, Download, 
11-26-2022-11-30-49.318,1.9655485903728374e+06, 9, Download, 
11-26-2022-11-30-49.318,982774.2951864187, 10, Download, 
11-26-2022-11-30-49.318,3.128439384597296e+06, 11, Download, 
11-26-2022-11-30-49.318,1.0973677088245905e+06, 12, Download, 
11-26-2022-11-30-49.318,2.6370882299098847e+06, 13, Download, 
11-26-2022-11-30-49.318,3.5707202110464023e+06, 14, Download, 
11-26-2022-11-30-49.318,5.2741764598197695e+06, 15, Download, 
11-26-2022-11-30-49.318,507803.91184897453, 16, Download, 
11-26-2022-11-30-49.318,1.7984359282785363e+07, 17, Download, 
11-26-2022-11-30-49.318,1.0482253947746898e+06, 18, Download, 
11-26-2022-11-30-49.318,425900.0550991399, 19, Download, 
11-26-2022-11-30-49.318,917323.1955981476, 0, Upload, 
11-26-2022-11-30-49.318,0, 1, Upload, 
11-26-2022-11-30-49.318,720753.9393985445, 2, Upload, 
11-26-2022-11-30-49.318,49142.314049900764, 3, Upload, 
11-26-2022-11-30-49.318,1.1957963085475853e+06, 4, Upload, 
11-26-2022-11-30-49.318,0, 5, Upload, 
11-26-2022-11-30-49.318,1.0319885950479159e+06, 6, Upload, 
11-26-2022-11-30-49.318,0, 7, Upload, 
11-26-2022-11-30-49.318,0, 8, Upload, 
